id,aspect_ratio,diameter,height_ratio,sphericity,symmetry_concave,symmetry_hull,symmetry_total,thickness,unmachinable,volume_ratio,is_lathe
000F33B,0.99893669,0.02776968,0.26213270,0.70497191,0.08237294,0.01665751,0.07787687,0.07369565,0.00000000,0.85133630,0
000F338,0.99893341,0.13749040,0.83803918,0.59967260,0.58881083,0.29968650,0.32249132,0.11413010,0.00000000,0.74477146,1
000F6B5,1.00000000,0.21875000,0.60714283,0.43053640,0.24614093,0.30695254,0.23723570,0.09239130,0.00000000,0.48744748,1
000FA5F,1.00000000,0.02324114,0.17693041,0.39473697,0.16929202,0.04034281,0.16345022,0.09137915,0.00000000,0.48188113,0
000FE53,0.99944973,0.16232530,0.71497472,0.69732198,0.65499276,0.47350627,0.52387442,0.15793838,0.00000000,0.83362654,1
0010929,1.00000000,0.06250000,1.00000000,0.80599589,0.91531856,0.37661418,0.37668043,0.04347826,0.00000000,0.99999995,1
000F5A6,0.99999940,0.37479896,0.16675748,0.43984138,0.38257522,0.00991878,0.18245085,0.04347860,0.00000000,0.50765914,1
000EF8A,0.99999601,0.06236590,0.23202238,0.11539965,0.06413968,0.00459967,0.04328478,0.01006624,1.00000000,0.51310659,0
000DCE9,0.99980457,0.07175566,0.06975034,0.15958323,0.80254750,0.08789130,0.59416722,0.71565215,1.00000000,0.26810580,0
000DCC1,1.00000000,0.03893750,0.38338459,0.46656825,0.49928270,0.01003427,0.40582387,0.07065218,0.00000000,0.46009186,1
000F5F3,0.99999132,0.08544144,0.60415688,0.28146323,0.06410487,0.04635386,0.06325980,0.03590928,0.00000000,0.28024837,1
00104C8,0.96064261,0.14482160,0.40971469,0.19042091,0.17064908,0.14321132,0.19319978,0.03965234,1.00000000,0.18013058,1
000EA2E,0.90165173,0.07070522,0.90904377,0.47171790,0.31116138,0.12889819,0.14328906,0.05410767,0.00000000,0.65211193,0
000D5D1,1.00000000,0.06250000,1.00000000,0.80599589,0.91531856,0.37661418,0.37668043,0.04347826,0.00000000,0.99999995,0
00104C5,0.94530773,0.14705118,0.44331961,0.21381358,0.20370112,0.17974642,0.18989522,0.04286974,1.00000000,0.24046735,0
